"ref","article_id","study_id","participant_id","effect_id","effect_size","outlier","cooks","cooks_flag","intrcpt","intrcpt.1","hatvalues","hat_flag"
"bigman2018_s4",2,4,4,31,-0.662390149611868,"TRUE",8.30022423324111e-11,"",-9.11055664229201e-06,"",0.000833299494844604,""
"bigman2018_s4",2,4,4,32,-0.662390149611868,"TRUE",8.30022423324111e-11,"",-9.11055664229201e-06,"",0.000833299494844604,""
"bigman2018_s4",2,4,4,33,-0.662390149611868,"TRUE",8.30022423324111e-11,"",-9.11055664229201e-06,"",0.000833299494844614,""
"bigman2018_s4",2,4,4,34,-0.662390149611868,"TRUE",8.30022423324111e-11,"",-9.11055664229201e-06,"",0.000833299494844603,""
"bigman2018_s4",2,4,4,35,-0.662390149611868,"TRUE",8.30022423324111e-11,"",-9.11055664229201e-06,"",0.000833299494844594,""
"bigman2018_s4",2,4,4,36,-0.662390149611868,"TRUE",8.30022423324111e-11,"",-9.11055664229201e-06,"",0.000833299494844592,""
"bigman2018_s4",2,4,4,37,-0.571443291250618,"TRUE",3.07314763441057e-06,"",0.00175216775378655,"",0.000844524542711275,""
"bigman2018_s4",2,4,4,38,-0.571443291250618,"TRUE",3.07314763441057e-06,"",0.00175216775378655,"",0.00084452454271127,""
"bigman2018_s4",2,4,4,39,-0.571443291250618,"TRUE",3.07314763441057e-06,"",0.00175216775378655,"",0.000844524542711291,""
"bigman2018_s4",2,4,4,40,-0.571443291250618,"TRUE",3.07314763441057e-06,"",0.00175216775378655,"",0.00084452454271129,""
"bigman2018_s4",2,4,4,41,-0.571443291250618,"TRUE",3.07314763441057e-06,"",0.00175216775378655,"",0.000844524542711275,""
"bigman2018_s4",2,4,4,42,-0.571443291250618,"TRUE",3.07314763441057e-06,"",0.00175216775378655,"",0.000844524542711285,""
"bigman2018_s4",2,4,4,43,-0.773467039761162,"TRUE",4.39728853675291e-06,"",-0.00209818171686207,"",0.000817849091449308,""
"bigman2018_s4",2,4,4,44,-0.773467039761162,"TRUE",4.39728853675291e-06,"",-0.00209818171686207,"",0.000817849091449322,""
"bigman2018_s4",2,4,4,45,-0.773467039761162,"TRUE",4.39728853675291e-06,"",-0.00209818171686207,"",0.000817849091449304,""
"bigman2018_s4",2,4,4,46,-0.773467039761162,"TRUE",4.39728853675291e-06,"",-0.00209818171686207,"",0.000817849091449314,""
"bigman2018_s4",2,4,4,47,-0.773467039761162,"TRUE",4.39728853675291e-06,"",-0.00209818171686207,"",0.000817849091449318,""
"bigman2018_s4",2,4,4,48,-0.773467039761162,"TRUE",4.39728853675291e-06,"",-0.00209818171686207,"",0.00081784909144931,""
"bigman2018_s5",2,5,5,49,-0.656519297761041,"TRUE",2.86579031258004e-08,"",-0.000169293763433854,"",0.000836381705051989,""
"bigman2018_s5",2,5,5,50,-0.656519297761041,"TRUE",2.86579031258004e-08,"",-0.000169293763433854,"",0.000836381705051995,""
"bigman2018_s5",2,5,5,51,-0.656519297761041,"TRUE",2.86579031258004e-08,"",-0.000169293763433854,"",0.000836381705052048,""
"bigman2018_s5",2,5,5,52,-0.656519297761041,"TRUE",2.86579031258004e-08,"",-0.000169293763433854,"",0.00083638170505204,""
"bigman2018_s5",2,5,5,53,-0.656519297761041,"TRUE",2.86579031258004e-08,"",-0.000169293763433854,"",0.000836381705052035,""
"bigman2018_s5",2,5,5,54,-0.656519297761041,"TRUE",2.86579031258004e-08,"",-0.000169293763433854,"",0.000836381705052056,""
"bigman2018_s5",2,5,5,55,-0.522093852178316,"TRUE",6.10960017532482e-06,"",0.00247008576853862,"",0.000852396330817779,""
"bigman2018_s5",2,5,5,56,-0.522093852178316,"TRUE",6.10960017532482e-06,"",0.00247008576853862,"",0.000852396330817779,""
"bigman2018_s5",2,5,5,57,-0.522093852178316,"TRUE",6.10960017532482e-06,"",0.00247008576853862,"",0.000852396330817725,""
"bigman2018_s5",2,5,5,58,-0.522093852178316,"TRUE",6.10960017532482e-06,"",0.00247008576853862,"",0.000852396330817746,""
"bigman2018_s5",2,5,5,59,-0.522093852178316,"TRUE",6.10960017532482e-06,"",0.00247008576853862,"",0.000852396330817751,""
"bigman2018_s5",2,5,5,60,-0.522093852178316,"TRUE",6.10960017532482e-06,"",0.00247008576853862,"",0.000852396330817738,""
"bigman2018_s5",2,5,5,61,-0.778974240885792,"TRUE",6.15835193059015e-06,"",-0.00248325483179933,"",0.000819303399643738,""
"bigman2018_s5",2,5,5,62,-0.778974240885792,"TRUE",6.15835193059015e-06,"",-0.00248325483179933,"",0.0008193033996437,""
"bigman2018_s5",2,5,5,63,-0.778974240885792,"TRUE",6.15835193059015e-06,"",-0.00248325483179933,"",0.000819303399643762,""
"bigman2018_s5",2,5,5,64,-0.778974240885792,"TRUE",6.15835193059015e-06,"",-0.00248325483179933,"",0.000819303399643731,""
"bigman2018_s5",2,5,5,65,-0.778974240885792,"TRUE",6.15835193059015e-06,"",-0.00248325483179933,"",0.000819303399643714,""
"bigman2018_s5",2,5,5,66,-0.778974240885792,"TRUE",6.15835193059015e-06,"",-0.00248325483179933,"",0.000819303399643738,""
"cassioli2023_s1",3,6,6,67,-1.07896455542267,"TRUE",0.025060972329421,"",-0.15990651355806,"",0.00637111177577479,""
"chu2023_s2",4,7,7,68,-0.0760146277084657,"",0.000125820769678728,"",-0.0112109230967323,"",0.00477943149160098,""
"chu2023_s2",4,7,8,69,0.046536162722539,"",4.41112274494196e-07,"",0.000664111447545801,"",0.00489381039029776,""
"chu2023_s2",4,7,9,70,0.513395208759261,"TRUE",0.000768288940362601,"",0.0278322809181306,"",0.00470318087777053,""
"chu2023_s2",4,7,7,71,0.013829853158954,"",2.89491518005393e-05,"",0.0053801694923426,"",0.00478276726902772,""
"chu2023_s2",4,7,8,72,-0.0902725529126173,"",0.000678142851403496,"",-0.0259969629268725,"",0.00489015676476584,""
"chu2023_s2",4,7,9,73,0.381951496338151,"TRUE",2.82357253582561e-06,"",0.00168051276028642,"",0.00477095153635582,""
"chu2023_s2",4,7,7,74,0.0231456347424626,"",5.02909961503465e-05,"",0.0070915070974001,"",0.00478256147198546,""
"chu2023_s2",4,7,8,75,0.183320938682202,"",0.000718201313058946,"",0.0268228790121738,"",0.00487467286772048,""
"chu2023_s2",4,7,9,76,0.305606467957376,"TRUE",0.000197560786727924,"",-0.01401990879757,"",0.00480181284052018,""
"he2024_s1",5,8,10,77,0.330275575675079,"",0.0112047653161881,"",0.105954304242152,"",0.00999379717281911,"TRUE"
"hidalgo2021_s1",6,9,11,78,0.318224770754728,"TRUE",0.0212163840246152,"",0.146236704673241,"",0.013922989541133,"TRUE"
"hidalgo2021_s1",6,9,12,79,-0.108936541064543,"",0.000335741067910476,"",-0.0181917238536609,"",0.0139139863690283,"TRUE"
"hristova2015_s1",7,10,13,80,0.48112129545334,"TRUE",0.0263604472438615,"",0.163635496361696,"",0.0108553808463172,"TRUE"
"hristova2015_s1",7,10,14,81,0.452178854424128,"TRUE",0.0235389728916808,"",0.154425099554117,"",0.0108654494435931,"TRUE"
"komatsu2017_s1",8,11,15,82,-0.198004830917754,"",0.000671643404471482,"",-0.0258237935650029,"",0.00713936576581685,""
"komatsu2017_s1",8,11,16,83,-0.239076048666464,"",0.00124520333817084,"",-0.0351625886848405,"",0.0075323533628979,""
"komatsu2021_s1",9,12,17,84,0.221055556452308,"",0.00938692830940477,"",0.0967639734388744,"",0.0127053401620561,"TRUE"
"komatsu2021_s2",9,13,18,85,0.201721052805558,"",0.009045017314183,"",0.0949372069398827,"",0.0133959518375847,"TRUE"
"komatsu2021_s3",9,14,19,86,-0.0441928327982351,"",2.26041882406477e-05,"",0.00472414414590038,"",0.0124064323917747,"TRUE"
"laakasuo2021_s1",10,15,20,87,0.0124612002812344,"",0.000938871818396885,"",-0.0305135292295651,"",0.00477091088870611,""
"laakasuo2021_s1",10,15,20,88,0.442275309446512,"",0.00603050148858262,"",0.0779064586607342,"",0.0061939147987826,""
"laakasuo2021_s1",10,15,21,89,-0.528794734912805,"",0.000738735019323683,"",-0.0272261520503326,"",0.00447384487870288,""
"laakasuo2021_s1",10,15,21,90,-0.452293743472508,"",0.000565019494721528,"",-0.0237896116965691,"",0.00594925759923869,""
"laakasuo2021_s2",10,16,22,91,-0.0597317999379393,"",0.0016409878276562,"",0.0403230939499816,"",0.00554675147323664,""
