"","X","ref","article_id","study_id","participant_id","efN_id","dv_var","pct_female","age_mean","age_sd","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","humanN","humanMean","humanSD","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN.1","humanN.0","yi","vi","yi_orig","og_participant_id","og_efN_id","apa_ref","study_num","dv_var_cap","apa_ref_display","study_display","slab_labels"
"24",24,"bigman2018_s3",2,3,3,24,"right",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","right","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-1.01925079229905,"punishment",118,4.99152542372881,2.28893945027832,108,3.68518518518519,2.30662657003908,NA,NA,NA,NA,-0.566709185933302,0.0184443649583687,NA,3,4,"Bigman et al., (2018)","Study 3","Right"," "," ","    "
"25",25,"bigman2018_s3",2,3,3,25,"permissible",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-0.659323890600048,"blame",118,5.17796610169492,2.3593109088573,108,3.94444444444444,2.47542437911115,NA,NA,NA,NA,-0.508963073708156,0.0183069404207078,NA,3,5,"Bigman et al., (2018)","Study 3","Permissible"," "," ","    "
"26",26,"bigman2018_s3",2,3,3,26,"permissible",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-0.659323890600048,"blame",118,5.17796610169492,2.3593109088573,108,3.94444444444444,2.47542437911115,NA,NA,NA,NA,-0.508963073708156,0.0183069404207078,NA,3,5,"Bigman et al., (2018)","Study 3","Permissible"," "," ","    "
"27",27,"bigman2018_s3",2,3,3,27,"permissible",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-0.659323890600048,"blame",118,5.17796610169492,2.3593109088573,108,3.94444444444444,2.47542437911115,NA,NA,NA,NA,-0.508963073708156,0.0183069404207078,NA,3,5,"Bigman et al., (2018)","Study 3","Permissible"," "," ","    "
"28",28,"bigman2018_s3",2,3,3,28,"permissible",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.660618046519466,-3.45395615704231,-1.01925079229905,"punishment",118,5.17796610169492,2.3593109088573,108,3.94444444444444,2.47542437911115,NA,NA,NA,NA,-0.508963073708156,0.0183069404207078,NA,3,5,"Bigman et al., (2018)","Study 3","Permissible"," "," ","    "
"29",29,"bigman2018_s3",2,3,3,29,"permissible",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.75312973904503,-3.45395615704231,-1.01925079229905,"punishment",118,5.17796610169492,2.3593109088573,108,3.94444444444444,2.47542437911115,NA,NA,NA,NA,-0.508963073708156,0.0183069404207078,NA,3,5,"Bigman et al., (2018)","Study 3","Permissible"," "," ","    "
"30",30,"bigman2018_s3",2,3,3,30,"permissible",59.2920353982301,38.8230088495575,13.2934270063537,"continuous","permissible","sidee","action",59.5,"harm","implied","AI","AI",-0.688828272494684,-3.45395615704231,-1.01925079229905,"punishment",118,5.17796610169492,2.3593109088573,108,3.94444444444444,2.47542437911115,NA,NA,NA,NA,-0.508963073708156,0.0183069404207078,NA,3,5,"Bigman et al., (2018)","Study 3","Permissible"," "," ","    "
"31",31,"bigman2018_s4",2,4,4,31,"moral",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","moral","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.450042631385116,"blame",114,3.7719298245614,1.99128671755024,119,2.49579831932773,1.84975467718286,NA,NA,NA,NA,-0.662390149611868,0.0181168377577319,NA,4,6,"Bigman et al., (2018)","Study 4","Moral"," ","Study 4","   Study 4"
"32",32,"bigman2018_s4",2,4,4,32,"moral",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","moral","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.450042631385116,"blame",114,3.7719298245614,1.99128671755024,119,2.49579831932773,1.84975467718286,NA,NA,NA,NA,-0.662390149611868,0.0181168377577319,NA,4,6,"Bigman et al., (2018)","Study 4","Moral"," "," ","    "
"33",33,"bigman2018_s4",2,4,4,33,"moral",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","moral","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.450042631385116,"blame",114,3.7719298245614,1.99128671755024,119,2.49579831932773,1.84975467718286,NA,NA,NA,NA,-0.662390149611868,0.0181168377577319,NA,4,6,"Bigman et al., (2018)","Study 4","Moral"," "," ","    "
"34",34,"bigman2018_s4",2,4,4,34,"moral",57.9399141630901,36.0815450643777,11.5324599320893,"continuous","moral","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.73385289231261,"punishment",114,3.7719298245614,1.99128671755024,119,2.49579831932773,1.84975467718286,NA,NA,NA,NA,-0.662390149611868,0.0181168377577319,NA,4,6,"Bigman et al., (2018)","Study 4","Moral"," "," ","    "
