"ref","article_id","study_id","participant_id","efN_id","pct_female","age_mean","age_sd","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN","humanMean","humanSD","humanN.1","humanN.0","dv_var","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","yi","vi"
"bigman2018_s5",2,5,5,53,61.3186813186813,37.6307692307693,11.6325883982502,224,3.49107142857143,2.16368534516967,NA,NA,231,4.9004329004329,2.12307197108132,NA,NA,"moral","continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.54014256227623,"punishment",-0.656519297761041,0.0092669357447545
"bigman2018_s5",2,5,5,54,61.3186813186813,37.6307692307693,11.6325883982502,224,3.49107142857143,2.16368534516967,NA,NA,231,4.9004329004329,2.12307197108132,NA,NA,"moral","continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.54014256227623,"punishment",-0.656519297761041,0.0092669357447545
"bigman2018_s5",2,5,5,55,61.3186813186813,37.6307692307693,11.6325883982502,224,3.42410714285714,2.26368268291237,NA,NA,231,4.63636363636364,2.36960329229301,NA,NA,"right","continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.329449583913678,"blame",-0.522093852178316,0.0090928306921718
"bigman2018_s5",2,5,5,56,61.3186813186813,37.6307692307693,11.6325883982502,224,3.42410714285714,2.26368268291237,NA,NA,231,4.63636363636364,2.36960329229301,NA,NA,"right","continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.329449583913678,"blame",-0.522093852178316,0.0090928306921718
"bigman2018_s5",2,5,5,57,61.3186813186813,37.6307692307693,11.6325883982502,224,3.42410714285714,2.26368268291237,NA,NA,231,4.63636363636364,2.36960329229301,NA,NA,"right","continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.329449583913678,"blame",-0.522093852178316,0.0090928306921718
"bigman2018_s5",2,5,5,58,61.3186813186813,37.6307692307693,11.6325883982502,224,3.42410714285714,2.26368268291237,NA,NA,231,4.63636363636364,2.36960329229301,NA,NA,"right","continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.54014256227623,"punishment",-0.522093852178316,0.0090928306921718
"bigman2018_s5",2,5,5,59,61.3186813186813,37.6307692307693,11.6325883982502,224,3.42410714285714,2.26368268291237,NA,NA,231,4.63636363636364,2.36960329229301,NA,NA,"right","continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.54014256227623,"punishment",-0.522093852178316,0.0090928306921718
"bigman2018_s5",2,5,5,60,61.3186813186813,37.6307692307693,11.6325883982502,224,3.42410714285714,2.26368268291237,NA,NA,231,4.63636363636364,2.36960329229301,NA,NA,"right","continuous","right",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.54014256227623,"punishment",-0.522093852178316,0.0090928306921718
"bigman2018_s5",2,5,5,61,61.3186813186813,37.6307692307693,11.6325883982502,224,3.89732142857143,2.31260766842518,NA,NA,231,5.65800865800866,2.20077326724898,NA,NA,"permissible","continuous","permissible",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.329449583913678,"blame",-0.778974240885792,0.00946010418390938
"bigman2018_s5",2,5,5,62,61.3186813186813,37.6307692307693,11.6325883982502,224,3.89732142857143,2.31260766842518,NA,NA,231,5.65800865800866,2.20077326724898,NA,NA,"permissible","continuous","permissible",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.329449583913678,"blame",-0.778974240885792,0.00946010418390938
